Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
CE,541,Physicochemical Water and Wastewater Treatment,"","","","","",""
CE,551,Open Channel Flow,"","","","","",""
CE,551,Open Channel Flow,01,01286,3,"TU,TH9.10-10.25",WEB ARR,Yonas Demissie
CE,551,Open Channel Flow,"","","","","",""
CE,580,Graduate Seminar,"","","","","",""
CE,580,Graduate Seminar,01,01505,1,F11.10-12,TBSL 102,""
CE,600,Special Projects or Independent Study,"","","","","",""
CE,600,Special Projects or Independent Study,01,01506,V,ARRGT,ARR ARR,(multiple)
CE,700,"Master's Research, Thesis and/or Examination","","","","","",""
CE,700,"Master's Research, Thesis and/or Examination",01,01291,V,ARRGT,ARR ARR,(multiple)
CE,702,"Master's Special Problems, Directed Study, and/or Examination","","","","","",""
CE,702,"Master's Special Problems, Directed Study, and/or Examination",01,01292,V,ARRGT,ARR ARR,(multiple)
CE,800,"Doctoral Research, Dissertation, and/or Examination","","","","","",""
CE,800,"Doctoral Research, Dissertation, and/or Examination",01,01293,V,ARRGT,ARR ARR,(multiple)
CES,"","","","","","","",""
CES,235,[HUM] African American History,"","","","","",""
CES,235,[HUM] African American History,01,13451,3,"TU,TH9.10-10.25",WEB ARR,Robert Bauman
CES,235,[HUM] African American History,"","","","","",""
CHE,"","","","","","","",""
CHE,461,Introduction to Nuclear Engineering,"","","","","",""
CHE,461,Introduction to Nuclear Engineering,01,01347,3,"TU,TH16.20-17.35",AMS TRI,Richard Stout
CHE,475,Introduction to Biochemical Engineering,"","","","","",""
CHE,475,Introduction to Biochemical Engineering,01,15630,3,"M,W,F10.10-11",WEB ARR,Xiao Zhang
CHE,475,Introduction to Biochemical Engineering,"","","","","",""
CHE,510,Transport Processes,"","","","","",""
CHE,510,Transport Processes,01,01220,3,"M,W,F9.10-10",WEB ARR,Cornelius Ivory
CHE,510,Transport Processes,"","","","","",""
CHE,560,Biochemical Engineering,"","","","","",""
CHE,560,Biochemical Engineering,01,15605,3,ARRGT,ARR ARR,Xiao Zhang
CHE,581,Advanced Topics in Chemical Engineering,"","","","","",""
CHE,581,Advanced Topics in Chemical Engineering,01,15615,V,"TU,TH13.30-14.45",WEB ARR,Hongfei Lin
CHE,581,Advanced Topics in Chemical Engineering,"","","","","",""
CHE,581,Advanced Topics in Chemical Engineering,"","","","","",""
CHE,581,Advanced Topics in Chemical Engineering,02,15616,V,"M,W,F11.10-12",WEB ARR,Alla Kostyukova
CHE,581,Advanced Topics in Chemical Engineering,"","","","","",""
CHE,581,Advanced Topics in Chemical Engineering,"","","","","",""
CHE,596,Research Methods and Presentation,"","","","","",""
CHE,596,Research Methods and Presentation,01,01221,3,"TU,TH9.10-10.25",WEB ARR,Wenji Dong
CHE,596,Research Methods and Presentation,"","","","","",""
CHE,598,Research Seminar,"","","","","",""
CHE,598,Research Seminar,01,01222,1,M16.10-17,WEB ARR,James Petersen
CHE,598,Research Seminar,"","","","","",""
CHE,700,"Master's Research, Thesis, and/or Examination","","","","","",""
CHE,700,"Master's Research, Thesis, and/or Examination",01,01223,V,ARRGT,ARR ARR,(multiple)
CHE,702,"Master's Special Problems, Directed Study, and/or Examination","","","","","",""
CHE,702,"Master's Special Problems, Directed Study, and/or Examination",01,01224,V,ARRGT,ARR ARR,Xiao Zhang
CHE,800,"Doctoral Research, Dissertation, and/or Examination","","","","","",""
CHE,800,"Doctoral Research, Dissertation, and/or Examination",01,01225,V,ARRGT,ARR ARR,(multiple)
CHEM,"","","","","","","",""
CHEM,101,[PSCI] Introduction to Chemistry,"","","","","",""
