Prefix,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room
HISTORY,300 [M] Writing about History,01,02653,3,TU14.10-17,VLIB 260
HISTORY,331 [HUM] Latin American Cultural History,01,14803,3,ARRGT,ARR ARR
HISTORY,355 [HUM] History of European Popular Culture,01,12760,3,"TU,TH13.25-14.40",VLIB 265
HISTORY,"399 [DIVR] Lesbian and Gay History: Culture, Politics and Social Change in the US",01,13443,3,"M,W9.10-10.25",VLIB 201
HISTORY,434 Revolution in Latin America,01,12762,3,ARRGT,ARR ARR
HISTORY,444 [CAPS] The Renaissance,01,14804,3,ARRGT,ARR ARR
HISTORY,"476 [M] Revolutionary China, 1800 to Present",01,12763,3,"M,W13.25-14.40",VLIB 265
HISTORY,"495 [CAPS] Space, Place, and Power in History: Historical Geography in Global Perspective",01,03142,3,ARRGT,ARR ARR
HISTORY,"800 Doctoral Research, Dissertation, and/or Examination",01,02528,V,ARRGT,ARR ARR
HUMANITY,304 [HUM] Humanities in the Modern World,01,02526,3,"TU,TH9.10-10.25",VLIB 265
I_BUS,380 International Business,01,02405,3,M18-20.45,VMMC 22
I_BUS,380 International Business,02,02445,3,"TU,TH10.35-11.50",VUB 121
I_BUS,435 International Tourism,01,03055,3,"TU,TH16.15-17.30",VUB 225
INTERDIS,501 Research Communication,01,14857,2,W16.15-17.55,AMS VAN
INTERDIS,"800 Doctoral Research, Dissertation, and/or Examination",01,02540,V,ARRGT,ARR ARR
ISE,300 INTRN'L EXCH,01,02525,V,ARRGT,ARR ARR
LATIN,101 First Semester Latin,01,02655,4,ARRGT,ARR ARR
MATH,103 Algebra Methods and Introduction to Functions,01,02564,3,ARRGT,ARR ARR
MATH,103 Algebra Methods and Introduction to Functions,02,02565,3,ARRGT,ARR ARR
MATH,103 Algebra Methods and Introduction to Functions,03,02925,3,ARRGT,ARR ARR
MATH,103 Algebra Methods and Introduction to Functions,04,03020,3,ARRGT,ARR ARR
MATH,110 Mathematics Acceleration,01,02722,1,ARRGT,ARR ARR
MATH,115 Math 105 Tutorial,01,14805,2,ARRGT,ARR ARR
MATH,116 Math 106 Tutorial,01,03249,2,ARRGT,ARR ARR
MATH,171 [QUAN] Calculus I,01,02738,4,"M,W,F9.10-10",VUB 1
MATH,171 [QUAN] Calculus I,01 Lab,02739,0,M13.25-14.40,VUB 202
