Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
BIOLOGY,372,[M] General Ecology,04 Lab,04710,0,TH14.55-17.45,WEB ARR,H Mcisaac
BIOLOGY,372,[M] General Ecology,05 Lab,07563,0,W12.10-15,WEB ARR,H Mcisaac
BIOLOGY,393,[M] Professional Communications in Biology,01,04711,2,ARRGT,ARR ARR,L Cook
BIOLOGY,393,[M] Professional Communications in Biology,03,16262,2,"M,W16.10-17",WEB ARR,D Monk
BIOLOGY,394,Medicine as a Career,01,06666,2,TU17.10-18.50,WEB ARR,D Allison
BIOLOGY,401,[CAPS] Plants and People,01,04712,3,"TU,TH13.30-14.45",WEB ARR,S Ritchie
BIOLOGY,405,Principles of Organic Evolution,01,04713,3,"M,W12.10-13",WEB ARR,M Dybdahl
BIOLOGY,405,Principles of Organic Evolution,01 Lab,04714,0,TH9.10-12,WEB ARR,M Dybdahl
BIOLOGY,405,Principles of Organic Evolution,02 Lab,04715,0,TH12.05-14.55,WEB ARR,M Dybdahl
BIOLOGY,405,Principles of Organic Evolution,03 Lab,04716,0,TH14.55-17.45,WEB ARR,M Dybdahl
BIOLOGY,405,Principles of Organic Evolution,04 Lab,04717,0,F9.10-12,WEB ARR,M Dybdahl
BIOLOGY,405,Principles of Organic Evolution,05 Lab,04718,0,F12.10-15,WEB ARR,M Dybdahl
BIOLOGY,408,[CAPS] [M] Contemporary Genetics,01,04719,3,"TU,TH13.30-14.45",WEB ARR,J Kelley
BIOLOGY,423,Ornithology,01,06688,4,"TU,TH10.35-11.50",WEB ARR,D Monk
BIOLOGY,423,Ornithology,01 Lab,06691,0,TU13.30-16.20,WEB ARR,D Monk
BIOLOGY,423,Ornithology,02 Lab,06690,0,TH13.30-16.20,WEB ARR,D Monk
BIOLOGY,438,[M] Animal Behavior,01,04720,3,"W,F9.10-10",WEB ARR,P Verrell
BIOLOGY,438,[M] Animal Behavior,01 Lab,04721,0,TH12.05-14.55,WEB ARR,P Verrell
BIOLOGY,438,[M] Animal Behavior,02 Lab,04722,0,F13.10-16,WEB ARR,P Verrell
BIOLOGY,462,Community Ecology,01,15403,3,"TU,TH13.30-14.45",WEB ARR,J Piovia-Scott
BIOLOGY,473,[CAPS] [M] Evolution and Society,01,07136,3,"M,W,F14.10-15",WEB ARR,O Cornejo
BIOLOGY,476,Epigenetics and Systems Biology,01,08429,3,"TU,TH10.35-11.50",WEB ARR,M Skinner
BIOLOGY,483,[CAPS] [M] Organisms and Global Change,01,14308,3,"TU,TH14.50-16.05",WEB ARR,H Mcisaac
BIOLOGY,489,[CAPS] [M] Synthesis and Communication of Independent Research,01,15534,3,"M,W13.30-14.45",WEB ARR,E Crespi
BIOLOGY,495,"Internship in Biology, Botany, and Zoology",01,"",V,ARRGT,ARR ARR,P Carter
BIOLOGY,496,[M] Special Problems and Reports,01,"",V,ARRGT,ARR ARR,P Carter
BIOLOGY,497,Instructional Practicum,01,04728,2,ARRGT,ARR ARR,E Johnson
BIOLOGY,499,Special Problems,01,"",V,ARRGT,ARR ARR,P Carter
BIOLOGY,500,Seminar,01,08965,1,W15.10-16,WEB ARR,""
BIOLOGY,500,Seminar,02,08966,1,M15.10-16.25,WEB ARR,""
BIOLOGY,501,Proposal Defense Seminar,01,08967,2,ARRGT,ARR ARR,""
BIOLOGY,501,Proposal Defense Seminar,02,14310,2,ARRGT,ARR ARR,""
BIOLOGY,537,Plant Cell Biology,01,08353,3,"TU,TH10.35-11.50",WEB ARR,H Hellmann
BIOLOGY,540,Stable Isotope Theory and Methods,01,14311,3,"TU,TH10.35-11.50",WEB ARR,R Evans
BIOLOGY,545,Statistical Genomics,01,08990,3,"M,F15.10-16",WEB ARR,Z Zhang
BIOLOGY,545,Statistical Genomics,02,08998,3,"M,F15.10-16",WEB ARR,Z Zhang
BIOLOGY,545,Statistical Genomics,03,09006,3,"M,F15.10-16",WEB ARR,Z Zhang
BIOLOGY,545,Statistical Genomics,04,09014,3,"M,F15.10-16",WEB ARR,Z Zhang
BIOLOGY,545,Statistical Genomics,05,09022,3,"M,F15.10-16",WEB ARR,Z Zhang
BIOLOGY,545,Statistical Genomics,01 Lab,08994,0,W15.10-17.40,WEB ARR,Z Zhang
BIOLOGY,545,Statistical Genomics,02 Lab,09002,0,W15.10-17.40,WEB ARR,Z Zhang
BIOLOGY,545,Statistical Genomics,03 Lab,09010,0,W15.10-17.40,WEB ARR,Z Zhang
BIOLOGY,545,Statistical Genomics,04 Lab,09018,0,W15.10-17.40,WEB ARR,Z Zhang
BIOLOGY,545,Statistical Genomics,05 Lab,09026,0,W15.10-17.40,WEB ARR,Z Zhang
BIOLOGY,561,Environmental Physiology,01,06692,3,"TU,TH9.10-10.25",WEB ARR,W Dowd
BIOLOGY,562,Community Ecology,01,15273,3,"TU,TH13.30-14.45",WEB ARR,J Piovia-Scott
BIOLOGY,572,Quantitative Methods and Statistics in Ecology,01,"",4,"TU,TH10.35-11.50",WEB ARR,J Brunner
BIOLOGY,572,Quantitative Methods and Statistics in Ecology,01 Lab,"",0,ARRGT,ARR ARR,J Brunner
BIOLOGY,576,Epigenetics and Systems Biology,01,08430,3,"TU,TH10.35-11.50",WEB ARR,M Skinner
BIOLOGY,582,Professional Communication in Biology - Grant Writing,01,07046,2,M10.30-12.30,WEB ARR,A Cousins
BIOLOGY,589,Advanced Topics in Biology,01,08018,1,W14.10-15,WEB ARR,H Watts
BIOLOGY,589,Advanced Topics in Biology,02,08083,2,ARRGT,ARR ARR,E Roalson
BIOLOGY,700,"Master's Research, Thesis, and/or Examination",01,04278,V,ARRGT,ARR ARR,(multiple)
BIOLOGY,702,"Master's Special Problems, Directed Study and/or Examination",01,06933,V,ARRGT,ARR ARR,(multiple)
BIOLOGY,800,"Doctoral Research, Dissertation, and/or Examination",01,04731,V,ARRGT,ARR ARR,(multiple)
BSYSE,512,Research and Teaching Methods,01,05885,3,TU10.10-11.50,WEB ARR,J Wu
BSYSE,512,Research and Teaching Methods,02,05886,3,TU10.10-11.50,WEB ARR,J Wu
BSYSE,512,Research and Teaching Methods,03,05887,3,TU10.10-11.50,WEB ARR,J Wu
BSYSE,512,Research and Teaching Methods,01 Lab,05888,0,TH9.10-12,WEB ARR,J Wu
BSYSE,512,Research and Teaching Methods,02 Lab,05889,0,TH9.10-12,WEB ARR,J Wu
BSYSE,512,Research and Teaching Methods,03 Lab,05890,0,TH9.10-12,WEB ARR,J Wu
BSYSE,597,Biomass Biological Process Engineering,01,09318,3,F9.10-11.40,WEB ARR,B Yang
BSYSE,700,"Master's Research, Thesis, and/or Examination",01,05894,V,ARRGT,ARR ARR,(multiple)
BSYSE,800,"Doctoral Research, Dissertation, and/or Examination",01,05896,V,ARRGT,ARR ARR,(multiple)
CAS,400,End-of-Program Evaluation Portfolio,01,"",1,ARRGT,ARR ARR,(multiple)
CAS,400,End-of-Program Evaluation Portfolio,02,"",1,ARRGT,ARR ARR,A Rocha
CE,211,Statics,01,04887,3,"M,W,F12.10-13",WEB ARR,J Cheng
CE,211,Statics,02,04888,3,"M,W,F10.10-11",WEB ARR,H Liu
CE,211,Statics,03,04889,3,"M,W,F13.10-14",WEB ARR,K Olsen
CE,215,Mechanics of Materials,01,04890,3,"M,W,F14.10-15",WEB ARR,R Petersen
CE,215,Mechanics of Materials,02,04891,3,"M,W,F9.10-10",WEB ARR,R Petersen
CE,215,Mechanics of Materials,03,04892,3,"M,W,F15.10-16",WEB ARR,J Cheng
CE,303,Civil Engineering Computer Applications,01,04893,2,TU8.10-9,WEB ARR,K Olsen
CE,303,Civil Engineering Computer Applications,01 Lab,04894,0,TU9.10-11.40,WEB ARR,K Olsen
CE,303,Civil Engineering Computer Applications,02 Lab,04895,0,TH9.10-11.40,WEB ARR,K Olsen
CE,303,Civil Engineering Computer Applications,04 Lab,09548,0,W12.10-14.40,WEB ARR,K Olsen
CE,303,Civil Engineering Computer Applications,05 Lab,04896,0,TU12.05-14.35,WEB ARR,K Olsen
CE,303,Civil Engineering Computer Applications,06 Lab,04897,0,TH12.05-14.35,WEB ARR,K Olsen
CE,315,Fluid Mechanics,01,04898,3,"M,W,F9.10-10",WEB ARR,T Ginn
CE,317,[M] Geotechnical Engineering I,01,04899,4,"M,W,F10.10-11",WEB ARR,I Akin
CE,317,[M] Geotechnical Engineering I,01 Lab,04900,0,TU15.10-17,WEB ARR,I Akin
CE,317,[M] Geotechnical Engineering I,02 Lab,04901,0,TH15.10-17,WEB ARR,I Akin
CE,317,[M] Geotechnical Engineering I,03 Lab,04902,0,W15.10-17,WEB ARR,I Akin
CE,320,Construction Materials,01,09034,3,"M,W13.10-14",WEB ARR,S Nassiri
CE,320,Construction Materials,02 Lab,09036,0,W15.10-18,WEB ARR,S Nassiri
CE,320,Construction Materials,03 Lab,09519,0,TU14.55-17.45,WEB ARR,S Nassiri
CE,322,Transportation Engineering,01,04903,3,"M,W,F12.10-13",WEB ARR,K Olsen
CE,330,Introduction to Structural Engineering,01,04904,3,"M,W,F11.10-12",WEB ARR,J Lee
CE,341,Introduction to Environmental Engineering,01,04905,3,"M,W,F14.10-15",WEB ARR,A Hohner
CE,351,Water Resources Engineering,02,07244,3,"M,W,F9.10-10",WEB ARR,F Scarpare
CE,400,Highway Materials Engineering,01,07226,3,"M,W12.10-13",WEB ARR,H Wen
CE,400,Highway Materials Engineering,01 Lab,07227,0,M13.10-16,WEB ARR,H Wen
CE,400,Highway Materials Engineering,03 Lab,08362,0,F13.10-16,WEB ARR,H Wen
CE,400,Highway Materials Engineering,04 Lab,09032,0,TH13.10-16,WEB ARR,H Wen
CE,401,Climate Change Science and Engineering,01,07245,3,"TU,TH9.10-10.25",WEB ARR,B Jobson
CE,414,Structural Design Loads and Load Paths,01,04906,3,"M,W,F11.10-12",WEB ARR,D Pollock
CE,414,Structural Design Loads and Load Paths,02,"",3,"TU,TH7.45-9",WEB ARR,""
CE,416,Hydraulic Engineering Laboratory,01,04907,3,M13.10-14,WEB ARR,A Richey
CE,416,Hydraulic Engineering Laboratory,01 Lab,04908,0,"W,F13.10-16",WEB ARR,A Richey
CE,416,Hydraulic Engineering Laboratory,02 Lab,04909,0,"TU,TH9.10-12",WEB ARR,A Richey
CE,419,Hazardous Waste Treatment,01,04910,3,"TU,TH12.05-13.20",WEB ARR,R Watts
CE,431,Structural Steel Design,01,04912,3,"M,W,F10.10-11",WEB ARR,A Phillips
CE,434,Masonry Design,01,08725,3,"TU,TH12.05-13.20",WEB ARR,C Motter
CE,435,Foundations,01,04913,3,"M,W,F11.10-12",WEB ARR,S Amarasiri
CE,442,Water and Wastewater Treatment Design,01,04914,3,"M,W,F10.10-11",WEB ARR,I Chowdhury
CE,451,Open Channel Flow,01,09031,3,"M,W,F11.10-12",WEB ARR,A Richey
CE,460,Engineering Hydrology,01,07356,3,"M,W,F8.10-9",WEB ARR,J Boll
CE,463,Engineering Administration,01,04915,3,"M,W,F9.10-10",WEB ARR,R Watts
CE,465,[CAPS] [M] Integrated Civil Engineering Design,01,"",3,TU13.30-14.20,WEB ARR,S Amarasiri
CE,465,[CAPS] [M] Integrated Civil Engineering Design,01 Lab,04917,0,"TU,TH14.25-17.15",WEB ARR,S Amarasiri
CE,466,Fundamentals of Civil Engineering Examination Review,01,04918,1,W17.10-20,WEB ARR,""
CE,473,Pavement Design,01,04919,3,"TU,TH9.10-10.25",WEB ARR,S Nassiri
CE,480,[M] Ethics and Professionalism,01,04920,1,TU10.35-11.25,WEB ARR,B Jobson
